"movie_id";"cast";"cover_image";"director";"duration";"genre";"name";"producer";"rating";"status";"synopsis";"trailer_url";"year"
1;"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler";"https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg";"Frank Darabont";142;"3";"The Shawshank Redemption";"Frank Darabont";1;1;"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.";"https://www.youtube.com/watch?v=6hB3S9bIaco";"1994"
3;"Marlon Brando, Al Pacino, James Caan, Diane Keaton";"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY1000_CR0,0,704,1000_AL_.jpg";"Francis Ford Coppola";175;"3";"The Godfather ";"Francis Ford Coppola";4;0;"The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.";"https://www.youtube.com/watch?v=sY1S34973zA";"1972"
4;"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine";"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SY1000_CR0,0,675,1000_AL_.jpg";"Christopher Nolan";152;"0";"The Dark Knight";"Christopher Nolan";2;0;"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.";"https://www.youtube.com/watch?v=EXeTwQWrcwY";"2008"
5;"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton";"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY1000_CR0,0,701,1000_AL_.jpg";"Francis Ford Coppola";202;"4";"The Godfather: Part II";"Francis Ford Coppola";1;1;"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.";"https://www.youtube.com/watch?v=9O1Iy9od7-A";"1974"
6;"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom";"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY1000_CR0,0,675,1000_AL_.jpg";"Peter Jackson";201;"1";"The Lord of the Rings: The Return of the King";"Peter Jackson";3;1;"Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.";"https://www.youtube.com/watch?v=r5X-hFf6Bwo";"2003"
7;"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis";"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY1000_CR0,0,686,1000_AL_.jpg";"Quentin Tarantino";154;"3";"Pulp Fiction";"Quentin Tarantino";2;0;"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.";"https://www.youtube.com/watch?v=s7EdQ4FqbhY";"1994"
8;" Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall";"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SY1000_CR0,0,666,1000_AL_.jpg";"Steven Spielberg";195;"3";"Schindler's List";"Steven Spielberg";3;1;"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.";"https://www.youtube.com/watch?v=gG22XNhtnoY";"1993"
9;"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler";"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SY1000_CR0,0,649,1000_AL_.jpg";"Sidney Lumet";96;"3";"12 Angry Men";"Sidney Lumet";4;1;"A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.";"https://www.youtube.com/watch?v=_13J_9B5jEk";"1957"
10;"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy";"https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SY1000_CR0,0,674,1000_AL_.jpg";"Todd Phillips";122;"4";"Joker";"Todd Phillips";4;1;"In Gotham City, mentally-troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: The Joker"".""""""";"https://www.youtube.com/watch?v=zAGVQLHvwOY";"2019"
11;"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe";"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SY1000_CR0,0,675,1000_AL_.jpg";"Christopher Nolan";148;"5";"Inception";"Christopher Nolan";0;0;"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.";"https://www.youtube.com/watch?v=YoHD9XEInc0";"2010"
