showtime_id,availability,date,duration,name,time,movie_id,hall_id
1,1,12/3/2019,180,TJ1,15:00,0,3
2,1,12/3/2019,150,TR1,15:00,0,2
3,1,12/3/2019,120,TV1,15:00,0,1
4,1,12/3/2019,120,TV2,17:00,0,1
5,1,12/3/2019,120,TV3,19:00,0,1
6,1,12/3/2019,120,TV4,21:00,0,1
7,1,12/3/2019,120,TV5,23:00,0,1
8,1,12/3/2019,150,TR2,17:30,0,2
9,1,12/3/2019,150,TR3,20:00,0,2
10,1,12/3/2019,150,TR4,22:30,0,2
11,1,12/3/2019,180,TJ2,18:00,0,3
12,1,12/3/2019,180,TJ3,21:00,0,3
13,1,12/4/2019,180,WJ1,15:00,0,3
14,1,12/4/2019,150,WR1,15:00,0,2
15,1,12/4/2019,120,WV1,15:00,0,1
16,1,12/4/2019,120,WV2,17:00,0,1
17,1,12/4/2019,120,WV3,19:00,0,1
18,1,12/4/2019,120,WV4,21:00,0,1
19,1,12/4/2019,120,WV5,23:00,0,1
20,1,12/4/2019,150,WR2,17:30,0,2
21,1,12/4/2019,150,WR3,20:00,0,2
22,1,12/4/2019,150,WR4,22:30,0,2
23,1,12/4/2019,180,WJ2,18:00,0,3
24,1,12/4/2019,180,WJ3,21:00,0,3
25,1,12/5/2019,180,RJ1,15:00,0,3
26,1,12/5/2019,150,RR1,15:00,0,2
27,1,12/5/2019,120,RV1,15:00,0,1
28,1,12/5/2019,120,RV2,17:00,0,1
29,1,12/5/2019,120,RV3,19:00,0,1
30,1,12/5/2019,120,RV4,21:00,0,1
31,1,12/5/2019,120,RV5,23:00,0,1
32,1,12/5/2019,150,RR2,17:30,0,2
33,1,12/5/2019,150,RR3,20:00,0,2
34,1,12/5/2019,150,RR4,22:30,0,2
35,1,12/5/2019,180,RJ2,18:00,0,3
36,1,12/5/2019,180,RJ3,21:00,0,3
37,1,12/6/2019,180,FJ1,15:00,0,3
38,1,12/6/2019,150,FR1,15:00,0,2
39,1,12/6/2019,120,FV1,15:00,0,1
40,1,12/6/2019,120,FV2,17:00,0,1
41,1,12/6/2019,120,FV3,19:00,0,1
42,1,12/6/2019,120,FV4,21:00,0,1
43,1,12/6/2019,120,FV5,23:00,0,1
44,1,12/6/2019,150,FR2,17:30,0,2
45,1,12/6/2019,150,FR3,20:00,0,2
46,1,12/6/2019,150,FR4,22:30,0,2
47,1,12/6/2019,180,FJ2,18:00,0,3
48,1,12/6/2019,180,FJ3,21:00,0,3
49,1,12/7/2019,180,SJ1,15:00,0,3
50,1,12/7/2019,150,SR1,15:00,0,2
51,1,12/7/2019,120,SV1,15:00,0,1
52,1,12/7/2019,120,SV2,17:00,0,1
53,1,12/7/2019,120,SV3,19:00,0,1
54,1,12/7/2019,120,SV4,21:00,0,1
55,1,12/7/2019,120,SV5,23:00,0,1
56,1,12/7/2019,150,SR2,17:30,0,2
57,1,12/7/2019,150,SR3,20:00,0,2
58,1,12/7/2019,150,SR4,22:30,0,2
59,1,12/7/2019,180,SJ2,18:00,0,3
60,1,12/7/2019,180,SJ3,21:00,0,3
61,1,12/8/2019,180,UJ1,15:00,0,3
62,1,12/8/2019,150,UR1,15:00,0,2
63,1,12/8/2019,120,UV1,15:00,0,1
64,1,12/8/2019,120,UV2,17:00,0,1
65,1,12/8/2019,120,UV3,19:00,0,1
66,1,12/8/2019,120,UV4,21:00,0,1
67,1,12/8/2019,120,UV5,23:00,0,1
68,1,12/8/2019,150,UR2,17:30,0,2
69,1,12/8/2019,150,UR3,20:00,0,2
70,1,12/8/2019,150,UR4,22:30,0,2
71,1,12/8/2019,180,UJ2,18:00,0,3
72,1,12/8/2019,180,UJ3,21:00,0,3
